,diff,Assay ID,SMILES
654,0.05151407804267816,CHEMBL905612,"N(NC(=O)c1c(C)c(ccc1)OC)(C(C)(C)C)C(=O)c1cc(C)cc(C)c1	
"
286,0.05164001793160011,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2[nH]nc(c3cccc(C(=O)NCCO)c3)n2)cc1	
"
270,0.05206209447539223,CHEMBL3431937,"c1cc2c(N(S(=O)(=O)c3cc(Cl)cc(Cl)c3)CCC2)cc1C(=O)Nc1ccc(C(=O)[O-])c(F)c1	
"
273,0.05213365720020491,CHEMBL3431937,"c1ccc(OCC(=O)N2CC[NH2+]C[C]2c2nc(c3ccc4c([nH]cn4)c3)no2)cc1	
"
675,0.052322438472180544,CHEMBL905613,"C1=C[C@]2(C(=CC1=O)CC[C]1[C]2[C](C[C@]2([C]1CC[C@@]2(C(=O)CO)O)C)O)C	
"
127,0.05247425233216507,CHEMBL3430218,"[N@@H+]12[C](C[C](CC1)[C](C=C)C2)[C](O)c1c2c(ccc(OC)c2)ncc1	
"
683,0.05297477231343439,CHEMBL905613,"n1c(nc(N[C](C)C)nc1NCC)Cl	
"
201,0.05300737613159079,CHEMBL3431937,"CC1(C)C(=O)N(c2ccc(Cl)c(c3nc([C]4CCCCN4C(=O)COc4ccccc4)no3)c2)C(=O)N1	
"
0,0.05338097924582108,CHEMBL1034536,"[NH+]1(CCCCC1)CCC(=O)c1ccc(OCCCCCC)cc1	
"
580,0.053385552815363724,CHEMBL905613,"[N+](=O)([O-])c1cc(ccc1)O	
"
713,0.05362374836199635,CHEMBL905613,"n1c(C)cc(OP(=S)(OCC)OCC)nc1[C](C)C	
"
36,0.05397398723371527,CHEMBL1034536,"C(=O)(c1ccc(C[C]2CC[N@@H+](CC)CC2)cc1)CC[NH+](C)C	
"
530,0.054261716628146495,CHEMBL3431937,"c1ccc(OCC(=O)N2CCCC[C]2c2csc(c3ccccn3)n2)cc1	
"
762,0.05450539505298302,Astellas,"n1c(O)cc(C(=O)N2CCC3(C(=O)NCCOc4ccccc4CCCCC3)CC2)cc1	
"
378,0.05455303275152801,CHEMBL3431937,"CC(=O)Nc1cc(c2[nH]c([C]3CCCCN3C(=O)COc3ccccc3)nn2)cc(F)c1	
"
